product_code,title,series,author,type,tags
GSM/226,A First Course in Spectral Theory,Graduate Studies in Mathematics,"Milivoje Lukić: Rice University, Houston, TX",,
GSM/222,Algebraic Geometry: Notes on a Course,Graduate Studies in Mathematics,"Michael Artin: Massachusetts Institute of Technology, Cambridge, MA",,
GSM/224,"Discrete Analogues in Harmonic Analysis: Bourgain, Stein, and Beyond",Graduate Studies in Mathematics,"Ben Krause: King’s College, London, UK",,
GSM/227,Geometric Structures on Manifolds,Graduate Studies in Mathematics,"William M. Goldman: University of Maryland, College Park, MD",,
GSM/223,Groups and Topological Dynamics,Graduate Studies in Mathematics,"Volodymyr Nekrashevych: Texas A&M University, College Station, TX",,
GSM/221,One-Dimensional Ergodic Schrödinger Operators: I. General Theory,Graduate Studies in Mathematics,"David Damanik: Rice University, Houston, TX,Jake Fillman: Texas State University, San Marcos, TX",,
GSM/225,The Mathematical Analysis of the Incompressible Euler and Navier-Stokes Equations: An Introduction,Graduate Studies in Mathematics,"Jacob Bedrossian: University of Maryland, College Park, MD,Vlad Vicol: Courant Institute of Mathematical Sciences, New York University, New York, NY",,
GSM/228,Topological and Ergodic Theory of Symbolic Dynamics,Graduate Studies in Mathematics,"Henk Bruin: University of Vienna, Vienna, Austria",,
GSM/220,Ultrafilters Throughout Mathematics,Graduate Studies in Mathematics,"Isaac Goldbring: University of California, Irvine, Irvine, CA",,
GSM/216,A Concise Introduction to Algebraic Varieties,Graduate Studies in Mathematics,Brian Osserman,,
GSM/212,Differential Equations: A Dynamical Systems Approach to Theory and Practice,Graduate Studies in Mathematics,"Marcelo Viana: IMPA - Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Brazil,José M. Espinar: Universidad de Cádiz, Cadiz, Spain",,
GSM/219,Essentials of Tropical Combinatorics,Graduate Studies in Mathematics,"Michael Joswig: Technische Universität Berlin, Berlin, Germany and Max-Planck Institut für Mathematik in den Naturwissenschaften, Leipzig, Germany",,
GSM/213,Hamilton-Jacobi Equations: Theory and Applications,Graduate Studies in Mathematics,"Hung Vinh Tran: University of Wisconsin, Madison, WI",,
GSM/211,Invitation to Nonlinear Algebra,Graduate Studies in Mathematics,"Mateusz Michałek: Max Planck Institute for Mathematics in the Sciences, Leipzig, Germany and University of Konstanz, Konstanz, Germany,Bernd Sturmfels: Max Planck Institute for Mathematics in the Sciences, Leipzig, Germany",,
GSM/218,Lectures on Differential Topology,Graduate Studies in Mathematics,"Riccardo Benedetti: University of Pisa, Pisa, Italy",,
