股票代码,股票名称,昨日搜索量,今日搜索量,热度涨幅
002677,浙江美大,335,1239,3.553748136098685
001314,亿道信息,1546,4260,3.372439797754735
002354,天娱数科,5962,10180,3.2665367052100294
002660,茂硕电源,1340,2581,2.947019325253849
300114,中航电测,15583,32521,2.9320066137013443
002385,大北农,2519,7057,2.801473092643052
600449,宁夏建材,733,1491,2.6840048840048847
600018,上港集团,974,2742,2.499244455276627
000584,哈工智能,2614,4603,2.1110785784869885
002825,纳尔股份,451,1066,1.9534501642935378
300261,雅本化学,1184,2660,1.9377970935759878
002229,鸿博股份,3476,5256,1.8677859391395595
600282,南钢股份,1084,2156,1.71785378792065
002626,金达威,1505,2616,1.7158758055067374
002641,公元股份,496,1106,1.6627502584829401
300444,双杰电气,552,1149,1.6394886363636365
000925,众合科技,1237,2235,1.6394018352781239
300541,先进数通,759,1255,1.2515444183415991
002562,兄弟科技,1123,1876,1.249470732963323
002156,通富微电,2694,4192,1.1051413162380117
002649,博彦科技,2318,3259,1.0383942161339421
002733,雄韬股份,2366,3096,0.9226410982784921
000878,云南铜业,1098,1865,0.908211179617002
002734,利民股份,984,1240,0.8978111017051638
002117,东港股份,1722,2437,0.8829415772440812
002882,金龙羽,2840,3697,0.8731993535239972
600340,华夏幸福,1654,2910,0.8492224475997296
600362,江西铜业,1344,2265,0.8481201575003177
002328,新朋股份,1481,1971,0.8371134020618558
000682,东方电子,1066,1601,0.8124312719275277
000400,许继电气,1422,2162,0.8018832673193335
002342,巨力索具,1329,1801,0.7547419497132775
600501,航天晨光,2587,3353,0.7359528226875165
300250,初灵信息,1666,2360,0.733294469139401
002325,洪涛股份,718,1045,0.7283410138248847
002864,盘龙药业,739,1132,0.7179664860778634
600172,黄河旋风,1766,2709,0.7044020297246478
002185,华天科技,2362,3270,0.6475825094682996
300724,捷佳伟创,860,1311,0.6400293613897725
600371,万向德农,807,1065,0.6166652930025549
002665,首航高科,1720,2425,0.6130986295618794
000713,丰乐种业,1346,1797,0.557430848570089
002591,恒大高新,1155,1527,0.5479758216081678
002140,东华科技,1296,1557,0.5408360128617362
600354,敦煌种业,2576,3152,0.5199203187250996
600509,天富能源,783,1058,0.5189016852104886
